ID CONTRATO,RUC CONTRATISTA,TIPO PENALIDAD,OBJETO CONTRATO,ENTIDAD CONTRATANTE,FECHA PENALIDAD,DESCRIPCION/MOTIVO,MONTO
2050788,20450384322,Por Mora,Bien,GOBIERNO REGIONAL CAJAMARCA SALUD SAN IGNACIO,25/05/21,"POR CONCEPTO DE PENALIDAD APLICADA AL PROVEEDOR ""AUTONORT NOR ORIENTE SAC"" CON RUC N°20450384322, EN LA O/C N°183 CON FACTURA N°F007-0000755 (IMPORTE FACTURADO 150,120.00), POR INCUMPLIMIENTO DE PLAZO DE ENTREGA DE LA ADQUISICION DE 1 UND CAMIONETA 4X4 TOYOTA HILUX, COLOR PLATA METALICO. RETENCION POR PENALIDAD Y GIRO DE CHEQUE AUTORIZADO CON MEMORANDO N°178-2021-GR.CAJ-DRSC-RSSI-DG/ADM, INFORME DE PENALIDAD N°120-2021-GR.CAJ-DRSC-RSSI-DG-ADM/LOG.",15012
2016253,10215388196,Otra Penalidad,Servicio,UNIVERSIDAD NACIONAL CIRO ALEGRIA,07/07/21,POR NO PRESENTAR HABILIDAD DE LOS PROFESIONALES DENTRO DE LOS 5 DIAS DE INICIADO LA EJECUCION,7700
2016248,20605620541,Por Mora,Servicio,UNIVERSIDAD NACIONAL CIRO ALEGRIA,18/06/21,MORA POR UN DIA DE RETRASO EN LA PRESENTACION DE LA INFORMACION,611.11
2016253,10215388196,Por Mora,Servicio,UNIVERSIDAD NACIONAL CIRO ALEGRIA,07/07/21,POR UN DIA DE MORA EN EL TERCER ENTREGABLE,613.33
2092744,20565412257,Otra Penalidad,Servicio,PROGRAMA NACIONAL DE CENTROS JUVENILES,24/02/22,PENALIDADES VARIOS,7655
2092744,20565412257,Otra Penalidad,Servicio,PROGRAMA NACIONAL DE CENTROS JUVENILES,08/04/22,PENALIDADES VARIOS,5540
2069679,20602251901,Otra Penalidad,Servicio,PROGRAMA NACIONAL DE CENTROS JUVENILES,04/11/21,OTRAS PENALIDADES,32230
2069679,20602251901,Otra Penalidad,Servicio,PROGRAMA NACIONAL DE CENTROS JUVENILES,04/11/21,OTRAS PENALIDADES,32230
2069679,20602251901,Otra Penalidad,Servicio,PROGRAMA NACIONAL DE CENTROS JUVENILES,12/11/21,OTRAS PENALDIADES,25757.9
2059112,20602866441,Por Mora,Bien,GOBIERNO REGIONAL HUANCAVELICA UNIDAD EJECUTORA RED DE SALUD TAYACAJA,21/07/21,PENALIDAD DEL CONTRATO N° 033-2021/GOB.REG.HVCA/DIRESA/UERST,6507.6
2053659,10415781381,Por Mora,Servicio,GOBIERNO REGIONAL HUANCAVELICA UNIDAD EJECUTORA RED DE SALUD TAYACAJA,08/07/21,PENALIDAD DEL CONTRATO N° 011-2021/GOB.REG.HVCA/DIRESA/UERST.,6932.29
2052693,20601245931,Otra Penalidad,Servicio,GOBIERNO REGIONAL HUANCAVELICA UNIDAD EJECUTORA RED DE SALUD TAYACAJA,02/06/21,PENALIDAD DE LA ORDEN DE SERVICIO N° 195,220
2059628,20602866441,Por Mora,Bien,GOBIERNO REGIONAL HUANCAVELICA UNIDAD EJECUTORA RED DE SALUD TAYACAJA,21/07/21,PENALIDAD DEL CONTRATO N° 031-2021/GOB.REG.HVCA/DIRESA/UERST,13672.31
2052693,20601245931,Otra Penalidad,Servicio,GOBIERNO REGIONAL HUANCAVELICA UNIDAD EJECUTORA RED DE SALUD TAYACAJA,30/07/21,PENALIDAD DE LA ORDEN DE SERVICIO N° 349,220
2038277,20505160674,Otra Penalidad,Servicio,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,30/12/21,Otras penalidades: penalidad por interrupción del servicio durante el periodo del 29/11/2021 al 28/12/2021,4926.26
2027786,20551377149,Por Mora,Bien,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,25/12/20,Penalidad por retrasos en las entregas parciales,24700
2015854,20551675247,Otra Penalidad,Servicio,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,30/12/20,"Cuadro de penalidad, Informe y conformidad",258
2015854,20551675247,Otra Penalidad,Servicio,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,30/12/20,"Cuadro de penalidad, Informe y conformidad",2451
2015854,20551675247,Otra Penalidad,Servicio,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,22/12/20,"Cuadro de penalidad, Informe y conformidad",5633
2015854,20551675247,Otra Penalidad,Servicio,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,17/12/20,"Cuadro de penalidad, Informe y conformidad",1806
2015854,20551675247,Otra Penalidad,Servicio,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,17/12/20,"Cuadro de penalidad, Informe y conformidad",9847
2015854,20551675247,Otra Penalidad,Servicio,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,16/12/20,"Cuadro de penalidad, Informe y conformidad",8987
2015854,20551675247,Otra Penalidad,Servicio,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,14/12/20,"Cuadro de penalidad, Informe y conformidad",8256
2015854,20551675247,Otra Penalidad,Servicio,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,09/12/20,"Cuadro de penalidad, Informe y conformidad",6880
2015854,20551675247,Otra Penalidad,Servicio,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,30/11/20,"Cuadro de penalidad, Informe y conformidad",5418
2015854,20551675247,Por Mora,Servicio,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,14/12/20,"Cuadro de Penalidad, Informe y conformidad del área usuaria",321500.13
2015854,20551675247,Por Mora,Servicio,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,09/12/20,Cuadro de Penalidad e Informe del área usuaria.,417275.75
2053877,20544274768,Otra Penalidad,Servicio,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,11/06/21,Por detectarse a un conductor del contratista con más de 60 años de edad prestando servicio con una unidad vehicular (la penalidad se aplicará por ocurrencia),660
2015854,20551675247,Por Mora,Servicio,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,16/12/20,"Mediante el Informe N°945-2020-SSTR se brindó conformidad al 4to período de servicio, el cual tuvo un total de S/ 198,781.99 aplicables por penalidad por mora. No obstante, en la misma factura del 4to período se cargó S/ 321,500.13 del 3er período que quedó pendiente de aplicar.",198781.99
